Row Number,MAC Address,Channel Name,Partial Service,Frequency (MHz),Modulation,Status,Tx Power (dBmV),Rx Power (dBmV),Attenuation (dB),MER (dB),SNR (dB),SNR Deviation (σ),CCER+CER (%),CER (%),Spectral Response (dB),Composite Equalization [NMTER] (dB),Group Response [PREMTTER] (dB),Echo Response [POSTMTTER] (dB),Deviation of Echo Response (σ),Latest Proactive Scan,Latest Outage Scan
11,4C:12:65:FC:2A:E4,Cable1/0/3-upstream0,none,38.6,QAM-64,Online,50,7.5,42.5,N/A,43.1,1,0.078,0,N/A,-25.4,-28.2,-28.7,0.0003094978747,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
12,D0:57:94:86:55:07,Cable1/0/3-upstream0,none,38.6,QAM-64,Online,46.3,7.5,38.8,N/A,43.1,0.9,0,0,N/A,-29.8,-41.1,-30.1,0.0001951258309,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
13,D0:57:94:86:55:07,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,46.8,7,39.8,N/A,43.1,0.7,0,0,N/A,-17.2,-20.6,-19.9,0.0006150646368,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
14,B0:BB:E5:43:F6:18,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,49.5,7,42.5,N/A,43.1,1.2,0,0,N/A,-16.4,-22.1,-17.8,0.0006996465381,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
15,B8:66:85:16:64:CD,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,49.8,7,42.8,N/A,43.1,0.9,0,0,N/A,-27.7,-33.5,-29,0.0002210937819,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
16,58:2F:F7:9A:18:5D,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,45.3,7,38.3,N/A,43.1,0.7,0,0,N/A,-25.7,-28.6,-29,0.0001399035973,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
17,EC:BE:DD:A9:0C:00,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,51.3,7.5,43.8,N/A,43.1,0.9,0,0,N/A,-19.9,-20.3,-30.8,0.0001439091866,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
18,18:34:AF:D1:1C:7D,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,53,7,46,N/A,43.1,1,0,0,N/A,-21.5,-24,-25.2,0.0002444638521,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
19,8C:FD:DE:93:9F:D2,Cable1/0/3-upstream0,none,38.6,QAM-64,Online,43.3,7,36.3,N/A,43.1,0.9,0,0,N/A,-29.9,-34.3,-31.9,0.00006264004333,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
20,8C:FD:DE:93:9F:D2,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,45.3,7,38.3,N/A,43.1,0.8,0,0,N/A,-26.1,-30.2,-28.2,0.0001194123179,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
21,D8:D7:75:79:D0:20,Cable1/0/3-upstream1,none,32.2,QAM-64,Online,48.8,7.5,41.3,N/A,43.1,0.8,0,0,N/A,-29.9,-36.6,-30.9,0.0001726122282,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
22,48:29:52:40:D5:1E,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,49.3,7,42.3,N/A,43.1,0.9,0,0,N/A,-29.3,-35.7,-30.4,0.00008876166976,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
23,84:17:EF:B6:30:EB,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,46.8,7,39.8,N/A,43.1,0.8,0.0036,0,N/A,-16.4,-18.6,-20.4,0.0004910207354,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
24,84:01:12:30:57:09,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,48.5,7,41.5,N/A,43.1,1.6,0,0,N/A,-18.5,-20.6,-22.7,0.0005217237049,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
25,44:1C:12:59:DB:7C,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,45.3,7.5,37.8,N/A,43.1,0.7,0,0,N/A,-16.7,-19.8,-19.6,0.0003968024103,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
26,84:01:12:2E:02:9D,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,46.8,7,39.8,N/A,43.1,1.2,0,0,N/A,-23.1,-24.5,-28.7,0.000111356414,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
27,D0:57:94:86:A6:B4,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,46.5,7,39.5,N/A,43.1,1.2,0,0,N/A,-17.3,-20.2,-20.5,0.0007125129923,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
28,6C:BA:B8:EE:15:6F,Cable1/0/3-upstream0,none,38.6,QAM-64,Online,45,7,38,N/A,43.1,0.8,0,0,N/A,-29.3,-42.1,-29.6,0.0002153912938,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
29,6C:BA:B8:EE:15:6F,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,45.8,7,38.8,N/A,43.1,1,0,0,N/A,-17.4,-20.2,-20.5,0.0003583832586,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
30,3C:B7:4B:3E:5A:2C,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,48.5,7,41.5,N/A,43.1,1.2,0,0,N/A,-23.8,-25.8,-28,0.0001146106151,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
31,F4:C1:14:A8:CF:BC,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,45.8,7,38.8,N/A,43.1,0.6,0,0,N/A,-18.1,-21.1,-21.1,0.001190367388,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
32,4C:12:65:FB:EF:CD,Cable1/0/3-upstream1,none,32.2,QAM-64,Online,53.5,7.5,46,N/A,43.1,0.7,0,0,N/A,-24.2,-31.7,-25,0.0001405236399,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
33,A0:FF:70:86:0B:D4,Cable1/0/3-upstream1,none,32.2,QAM-64,Online,53,7,46,N/A,43.1,1,0,0,N/A,-26.1,-37.4,-26.4,0.0003899850708,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
34,A0:FF:70:86:0B:D4,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,54.5,7,47.5,N/A,43.1,0.8,0,0,N/A,-26.2,-30.3,-28.4,0.000200375609,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
35,F4:C1:14:9A:17:2C,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,49.8,7,42.8,N/A,43.1,0.8,0,0,N/A,-18.6,-21.5,-21.8,0.005747910123,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
36,B0:DA:F9:6A:9F:E1,Cable1/0/3-upstream0,none,38.6,QAM-64,Online,50,8,42,N/A,43.1,0.5,0,0,N/A,-25.8,-27.9,-29.9,0.0001915503526,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
37,C0:3C:04:EE:1B:A5,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,44.8,7,37.8,N/A,43.1,1.2,0,0,N/A,-21.6,-21.7,-38.5,0.0004801450123,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
38,7C:16:89:B7:C9:99,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,48.8,7,41.8,N/A,43.1,0.9,0,0,N/A,-22,-22.7,-30,0.00009296544886,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
39,EC:BE:DD:AA:7E:7B,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,49.5,7,42.5,N/A,43.1,1,0,0,N/A,-24.5,-32.6,-25.2,0.0001844600629,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
40,98:52:4A:3F:7F:DC,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,51.8,7,44.8,N/A,43.1,0.9,0,0,N/A,-20.1,-21.7,-25.1,0.0001475597528,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
41,D0:6E:DE:8E:DD:E9,Cable1/0/3-upstream4,none,75.4,QAM-64,Online,37.8,7,30.8,N/A,43.1,1,0,0,N/A,-24.4,-27.7,-27.1,0.0001427107345,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
42,D0:6E:DE:72:7C:0F,Cable1/0/3-upstream0,none,38.6,QAM-64,Online,44,7,37,N/A,43.1,0.7,0,0,N/A,-30.1,-36.3,-31.2,0.00009181686619,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
43,D0:6E:DE:72:7C:0F,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,44.5,7,37.5,N/A,43.1,1.1,0,0,N/A,-20.5,-22.1,-25.5,0.0002992222726,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
44,3C:B7:4B:54:8D:4C,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,41.3,7,34.3,N/A,43.1,1.3,0,0,N/A,-18.1,-22.5,-20.1,0.001013507717,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
45,44:AD:B1:2E:7E:2D,Cable1/0/3-upstream5,none,81.8,QAM-64,Online,51,7,44,N/A,43.1,0.9,0,0,N/A,-20.4,-21.9,-25.7,0.0003272059257,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
46,BC:64:4B:F2:C7:52,Cable1/0/3-upstream1,none,32.2,QAM-64,Online,51,7,44,N/A,43.1,0.9,0.0639,0,N/A,-27.6,-33.1,-29,0.0003164497612,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
47,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream16,none,699,QAM-256,Online,N/A,3,N/A,41.8,41.8,0,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
48,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream17,none,705,QAM-256,Online,N/A,2.9,N/A,41.8,41.8,0,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
49,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream19,none,717,QAM-256,Online,N/A,2.8,N/A,41.8,41.8,0,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
50,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream23,none,741,QAM-256,Online,N/A,2.4,N/A,41.8,41.8,0.1,0,0,36,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
51,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream16,none,699,QAM-256,Online,N/A,-2.8,N/A,41.7,41.7,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
52,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream18,none,711,QAM-256,Online,N/A,-2.6,N/A,41.7,41.7,0.1,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
53,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream19,none,717,QAM-256,Online,N/A,-2.6,N/A,41.7,41.7,0.1,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
54,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream15,none,693,QAM-256,Online,N/A,2.5,N/A,41.7,41.7,0,0,0,29,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
55,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream18,none,711,QAM-256,Online,N/A,2.6,N/A,41.8,41.7,0,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
56,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream22,none,735,QAM-256,Online,N/A,2.4,N/A,41.8,41.7,0.1,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
57,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream24,none,747,QAM-256,Online,N/A,2.3,N/A,41.8,41.7,0,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
58,18:1E:78:CB:57:AA,Integrated-Cable1/0/3-downstream15,none,693,QAM-256,Online,N/A,12.9,N/A,41.7,41.7,0.5,0,0,39,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
59,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream0,none,603,QAM-256,Online,N/A,0.7,N/A,41.7,41.7,0,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
60,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream1,none,609,QAM-256,Online,N/A,0.6,N/A,41.7,41.7,0,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
61,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream6,none,639,QAM-256,Online,N/A,0.1,N/A,41.7,41.7,0,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
62,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream7,none,645,QAM-256,Online,N/A,0.1,N/A,41.7,41.7,0,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
63,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream13,none,681,QAM-256,Online,N/A,-0.6,N/A,41.6,41.7,0.1,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
64,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream14,none,687,QAM-256,Online,N/A,-0.7,N/A,41.6,41.7,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
65,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream15,none,693,QAM-256,Online,N/A,-0.8,N/A,41.7,41.7,0,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
66,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream16,none,699,QAM-256,Online,N/A,-0.8,N/A,41.7,41.7,0,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
67,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream17,none,705,QAM-256,Online,N/A,-0.8,N/A,41.7,41.7,0.1,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
68,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream18,none,711,QAM-256,Online,N/A,-1,N/A,41.7,41.7,0,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
69,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream19,none,717,QAM-256,Online,N/A,-0.9,N/A,41.7,41.7,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
70,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream23,none,741,QAM-256,Online,N/A,-1.4,N/A,41.7,41.7,0.1,0,0,36,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
71,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream24,none,747,QAM-256,Online,N/A,-1.4,N/A,41.7,41.7,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
72,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream15,none,693,QAM-256,Online,N/A,-3.1,N/A,41.6,41.6,0.1,0,0,30,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
73,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream17,none,705,QAM-256,Online,N/A,-2.8,N/A,41.7,41.6,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
74,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream23,none,741,QAM-256,Online,N/A,-3.5,N/A,41.5,41.6,0.1,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
75,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream7,none,645,QAM-256,Online,N/A,2.3,N/A,41.6,41.6,0,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
76,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream14,none,687,QAM-256,Online,N/A,2.2,N/A,41.6,41.6,0,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
77,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream20,none,723,QAM-256,Online,N/A,2.7,N/A,41.6,41.6,0,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
78,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream21,none,729,QAM-256,Online,N/A,2.2,N/A,41.6,41.6,0,0,0,36,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
79,18:1E:78:CB:57:AA,Integrated-Cable1/0/3-downstream14,none,687,QAM-256,Online,N/A,13,N/A,41.4,41.6,0.5,0,0,37,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
80,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream3,none,621,QAM-256,Online,N/A,0.4,N/A,41.6,41.6,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
81,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream4,none,627,QAM-256,Online,N/A,0.3,N/A,41.6,41.6,0,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
82,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream5,none,633,QAM-256,Online,N/A,0.2,N/A,41.6,41.6,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
83,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream10,none,663,QAM-256,Online,N/A,-0.4,N/A,41.6,41.6,0,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
84,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream20,none,723,QAM-256,Online,N/A,-1,N/A,41.5,41.6,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
85,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream21,none,729,QAM-256,Online,N/A,-1.1,N/A,41.6,41.6,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
86,58:2F:F7:8E:4D:98,Integrated-Cable1/0/0-downstream22,none,735,QAM-256,Online,N/A,-1.2,N/A,41.6,41.6,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
87,7C:16:89:BA:6A:41,Integrated-Cable1/0/0-downstream18,none,711,QAM-256,Online,N/A,-2.6,N/A,41.5,41.6,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
88,7C:16:89:BA:6A:41,Integrated-Cable1/0/0-downstream19,none,717,QAM-256,Online,N/A,-2.4,N/A,41.6,41.6,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
89,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream5,none,633,QAM-256,Online,N/A,-2.9,N/A,41.5,41.5,0.1,0,0,28,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
90,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream6,none,639,QAM-256,Online,N/A,-3,N/A,41.5,41.5,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
91,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream14,none,687,QAM-256,Online,N/A,-3.4,N/A,41.5,41.5,0.1,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
92,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream21,none,729,QAM-256,Online,N/A,-3.3,N/A,41.4,41.5,0.1,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
93,EC:BE:DD:AF:96:D8,Integrated-Cable1/0/0-downstream22,none,735,QAM-256,Online,N/A,-3.3,N/A,41.5,41.5,0.1,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
94,34:49:5B:85:0E:E3,Integrated-Cable1/0/0-downstream15,none,693,QAM-256,Online,N/A,1.1,N/A,41.4,41.5,0.1,0,0,32,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
95,34:49:5B:85:0E:E3,Integrated-Cable1/0/0-downstream16,none,699,QAM-256,Online,N/A,1.3,N/A,41.5,41.5,0.1,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
96,34:49:5B:85:0E:E3,Integrated-Cable1/0/0-downstream18,none,711,QAM-256,Online,N/A,1.2,N/A,41.4,41.5,0.1,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
97,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream0,none,603,QAM-256,Online,N/A,1.6,N/A,41.5,41.5,0,0,0,36,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
98,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream6,none,639,QAM-256,Online,N/A,2.2,N/A,41.6,41.5,0,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
99,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream8,none,651,QAM-256,Online,N/A,2.2,N/A,41.5,41.5,0,0,0,35,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
100,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream9,none,657,QAM-256,Online,N/A,2.4,N/A,41.5,41.5,0,0,0,31,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
101,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream10,none,663,QAM-256,Online,N/A,2.3,N/A,41.5,41.5,0,0,0,34,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
102,F4:C1:14:EC:3F:34,Integrated-Cable1/0/0-downstream13,none,681,QAM-256,Online,N/A,2.1,N/A,41.6,41.5,0,0,0,33,N/A,N/A,N/A,N/A,"10/16/2024, 7:25:13 PM","10/16/2024, 7:25:13 PM"
